议员姓名,年份,所属党派,备注
Agnieszka Brugger,2014,Grüne/Bündnis 90,
Agnieszka Brugger,2015,Grüne/Bündnis 90,
Agnieszka Brugger,2016,Grüne/Bündnis 90,
Agnieszka Brugger,2017,BüNDNIS 90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, Grüne/Bündnis 90"
Agnieszka Brugger,2017,Grüne/Bündnis 90,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, Grüne/Bündnis 90"
Agnieszka Brugger,2018,BüNDNIS 90/DIE GRüNEN,
Agnieszka Brugger,2019,BüNDNIS 90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Agnieszka Brugger,2019,BüNDNIS?90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Agnieszka Brugger,2020,BüNDNIS?90/DIE GRüNEN,
Agnieszka Brugger,2021,BüNDNIS?90/DIE GRüNEN,
Ahlers,1974,SPD,
Ahlers,1977,SPD,
Ahlers,1978,SPD,
Ahlers,1979,SPD,
Ahrens,1950,DP,
Ahrens (Salzgitter),1966,SPD-Gast,
Ahrens (Salzgitter),1969,SPD,
"Ahrens, Berichterstatter",1952,DP,
Aigner,1973,CDU/CSU,
Alber,1970,CDU/CSU,
Alber,1972,CDU/CSU,
Alber,1973,CDU/CSU,
Alber,1975,CDU/CSU,
Alber,1976,CDU/CSU,
Alber,1978,CDU/CSU,
Albers,1951,CDU/CSU,
Albers,1952,CDU/CSU,
Albers,1954,CDU/CSU,
"Albers, Antragsteller",1951,CDU/CSU,
Albert De?,1991,CDU/CSU,
Albert De?,1992,CDU/CSU,
Albert De?,1993,CDU/CSU,
Albert De?,1994,CDU/CSU,
Albert De?,1995,CDU/CSU,
Albert De?,1996,CDU/CSU,
Albert De?,1997,CDU/CSU,
Albert De?,1998,CDU/CSU,
Albert De?,1999,CDU/CSU,
Albert De?,2000,CDU/CSU,
Albert De?,2001,CDU/CSU,
Albert De?,2002,CDU/CSU,
Albert De?,2003,CDU/CSU,
Albert De?,2004,CDU/CSU,
Albert H. Weiler,2018,CDU/CSU,
Albert H. Weiler,2019,CDU/CSU,
Albert H. Weiler,2020,CDU/CSU,
Albert H. Weiler,2021,CDU/CSU,
Albert Pfuhl,1991,SPD,
Albert Pfuhl,1992,SPD,
Albert Pfuhl,1993,SPD,
Albert Pfuhl,1994,SPD,
Albert Rupprecht,2014,CDU/CSU,
Albert Rupprecht,2015,CDU/CSU,
Albert Rupprecht,2016,CDU/CSU,
Albert Rupprecht,2018,CDU/CSU,
Albert Rupprecht,2019,CDU/CSU,
Albert Rupprecht,2020,CDU/CSU,
Albert Rupprecht,2021,CDU/CSU,
Albert Rupprecht (Weiden),2003,CDU/CSU,
Albert Rupprecht (Weiden),2004,CDU/CSU,
Albert Rupprecht (Weiden),2005,CDU/CSU,
Albert Rupprecht (Weiden),2006,CDU/CSU,
Albert Rupprecht (Weiden),2007,CDU/CSU,
Albert Rupprecht (Weiden),2008,CDU/CSU,
Albert Rupprecht (Weiden),2009,CDU/CSU,
Albert Rupprecht (Weiden),2010,CDU/CSU,
Albert Rupprecht (Weiden),2011,CDU/CSU,
Albert Rupprecht (Weiden),2012,CDU/CSU,
Albert Rupprecht (Weiden),2013,CDU/CSU,
Albert Rupprecht (Weiden),2014,CDU/CSU,
Albert Schmidt (Hitzhofen),1995,Grüne/Bündnis 90,
Albert Schmidt (Hitzhofen),1996,Grüne/Bündnis 90,
Albert Schmidt (Hitzhofen),1997,Grüne/Bündnis 90,
Albert Schmidt (Hitzhofen),1998,Grüne/Bündnis 90,
Albert Schmidt (Hitzhofen),1999,Grüne/Bündnis 90,
Albert Schmidt (Hitzhofen),2000,Grüne/Bündnis 90,
Albert Schmidt (Hitzhofen),2001,Grüne/Bündnis 90,
Albert Schmidt (Hitzhofen),2002,Grüne/Bündnis 90,
Albert Schmidt (Ingolstadt),2003,Grüne/Bündnis 90,
Albert Schmidt (Ingolstadt),2004,Grüne/Bündnis 90,
Albert Schmidt (Ingolstadt),2005,Grüne/Bündnis 90,
Albert Stegemann,2014,CDU/CSU,
Albert Stegemann,2015,CDU/CSU,
Albert Stegemann,2016,CDU/CSU,
Albert Stegemann,2018,CDU/CSU,
Albert Stegemann,2019,CDU/CSU,
Albert Stegemann,2020,CDU/CSU,
Albert Stegemann,2021,CDU/CSU,
Albert Weiler,2014,CDU/CSU,
Albert Weiler,2015,CDU/CSU,
Albert Weiler,2016,CDU/CSU,
Albrecht (Hamburg),1956,CDU/CSU,
Albrecht Feibel,2000,CDU/CSU,
Albrecht Feibel,2001,CDU/CSU,
Albrecht Feibel,2002,CDU/CSU,
Albrecht Feibel,2003,CDU/CSU,
Albrecht Feibel,2004,CDU/CSU,
Albrecht Feibel,2005,CDU/CSU,
Albrecht Glaser,2018,AfD,
Albrecht Glaser,2019,AfD,
Albrecht Glaser,2020,AfD,
Albrecht Glaser,2021,AfD,
Albrecht Müller (Pleisweiler),1991,SPD,
Albrecht Müller (Pleisweiler),1992,SPD,
Albrecht Müller (Pleisweiler),1993,SPD,
Albrecht Müller (Pleisweiler),1994,SPD,
Albrecht Papenroth,1996,SPD,
Albrecht Papenroth,2000,SPD,
AlbrechtPapenroth,2000,SPD,
Alexander Bonde,2002,Grüne/Bündnis 90,
Alexander Bonde,2003,Grüne/Bündnis 90,
Alexander Bonde,2004,Grüne/Bündnis 90,
Alexander Bonde,2005,Grüne/Bündnis 90,
Alexander Bonde,2006,Grüne/Bündnis 90,
Alexander Bonde,2007,Grüne/Bündnis 90,
Alexander Bonde,2008,Grüne/Bündnis 90,
Alexander Bonde,2009,Grüne/Bündnis 90,
Alexander Bonde,2010,Grüne/Bündnis 90,
Alexander Bonde,2011,Grüne/Bündnis 90,
Alexander Dobrindt,2003,CDU/CSU,
Alexander Dobrindt,2004,CDU/CSU,
Alexander Dobrindt,2005,CDU/CSU,
Alexander Dobrindt,2006,CDU/CSU,
Alexander Dobrindt,2007,CDU/CSU,
Alexander Dobrindt,2008,CDU/CSU,
Alexander Dobrindt,2010,CDU/CSU,
Alexander Dobrindt,2011,CDU/CSU,
Alexander Dobrindt,2013,CDU/CSU,
Alexander Dobrindt,2018,CDU/CSU,
Alexander Dobrindt,2019,CDU/CSU,
Alexander Dobrindt,2020,CDU/CSU,
Alexander Dobrindt,2021,CDU/CSU,
Alexander Funk,2010,CDU/CSU,
Alexander Funk,2011,CDU/CSU,
Alexander Funk,2012,CDU/CSU,
Alexander Funk,2013,CDU/CSU,
Alexander Funk,2014,CDU/CSU,
Alexander Funk,2015,CDU/CSU,
Alexander Funk,2016,CDU/CSU,
Alexander Graf Lambsdorff,2017,FDP,
Alexander Graf Lambsdorff,2018,FDP,
Alexander Graf Lambsdorff,2019,FDP,
Alexander Graf Lambsdorff,2020,FDP,
Alexander Graf Lambsdorff,2021,FDP,
Alexander Hoffmann,2014,CDU/CSU,
Alexander Hoffmann,2015,CDU/CSU,
Alexander Hoffmann,2016,CDU/CSU,
Alexander Hoffmann,2017,CDU/CSU,
Alexander Hoffmann,2018,CDU/CSU,
Alexander Hoffmann,2019,CDU/CSU,
Alexander Hoffmann,2020,CDU/CSU,
Alexander Hoffmann,2021,CDU/CSU,
Alexander Krau?,2018,CDU/CSU,
Alexander Krau?,2019,CDU/CSU,
Alexander Krau?,2020,CDU/CSU,
Alexander Krau?,2021,CDU/CSU,
Alexander Kulitz,2018,FDP,
Alexander Müller,2018,FDP,
Alexander Müller,2019,FDP,
Alexander Müller,2020,FDP,
Alexander Müller,2021,FDP,
Alexander Radwan,2014,CDU/CSU,
Alexander Radwan,2015,CDU/CSU,
Alexander Radwan,2016,CDU/CSU,
Alexander Radwan,2017,CDU/CSU,
Alexander Radwan,2018,CDU/CSU,
Alexander Radwan,2019,CDU/CSU,
Alexander Radwan,2020,CDU/CSU,
Alexander Radwan,2021,CDU/CSU,
Alexander Sü?mair,2010,DIE LINKE,
Alexander Sü?mair,2011,DIE LINKE,
Alexander Sü?mair,2012,DIE LINKE,
Alexander Sü?mair,2013,DIE LINKE,
Alexander Throm,2018,CDU/CSU,
Alexander Throm,2019,CDU/CSU,
Alexander Throm,2020,CDU/CSU,
Alexander Throm,2021,CDU/CSU,
Alexander Ulrich,2006,DIE LINKE,
Alexander Ulrich,2007,DIE LINKE,
Alexander Ulrich,2008,DIE LINKE,
Alexander Ulrich,2009,DIE LINKE,
Alexander Ulrich,2010,DIE LINKE,
Alexander Ulrich,2011,DIE LINKE,
Alexander Ulrich,2012,DIE LINKE,
Alexander Ulrich,2013,DIE LINKE,
Alexander Ulrich,2014,DIE LINKE,
Alexander Ulrich,2015,DIE LINKE,
Alexander Ulrich,2016,DIE LINKE,
Alexander Ulrich,2017,DIE LINKE,
Alexander Ulrich,2018,DIE LINKE,
Alexander Ulrich,2019,DIE LINKE,
Alexander Ulrich,2020,DIE LINKE,
Alexander Ulrich,2021,DIE LINKE,
Alexandra Dinges-Dierig,2014,CDU/CSU,
Alexandra Dinges-Dierig,2015,CDU/CSU,
Alexandra Dinges-Dierig,2016,CDU/CSU,
Alexandra Dinges-Dierig,2017,CDU/CSU,
Alfons Müller (Wesseling),1991,CDU/CSU,
Alfons Müller (Wesseling),1992,CDU/CSU,
Alfons Müller (Wesseling),1993,CDU/CSU,
Alfons Müller (Wesseling),1994,CDU/CSU,
Alfred Hartenbach,1995,SPD,
Alfred Hartenbach,1996,SPD,
Alfred Hartenbach,1997,SPD,
Alfred Hartenbach,1998,SPD,
Alfred Hartenbach,1999,SPD,
Alfred Hartenbach,2000,SPD,
Alfred Hartenbach,2001,SPD,
Alfred Hartenbach,2002,SPD,
Alfred Hartenbach,2003,SPD,
Alfred Hartenbach,2004,SPD,
Alfred Hartenbach,2009,SPD,
Alois Gerig,2010,CDU/CSU,
Alois Gerig,2011,CDU/CSU,
Alois Gerig,2012,CDU/CSU,
Alois Gerig,2013,CDU/CSU,
Alois Gerig,2014,CDU/CSU,
Alois Gerig,2015,CDU/CSU,
Alois Gerig,2016,CDU/CSU,
Alois Gerig,2018,CDU/CSU,
Alois Gerig,2019,CDU/CSU,
Alois Gerig,2020,CDU/CSU,
Alois Gerig,2021,CDU/CSU,
Alois Karl,2006,CDU/CSU,
Alois Karl,2007,CDU/CSU,
Alois Karl,2008,CDU/CSU,
Alois Karl,2010,CDU/CSU,
Alois Karl,2011,CDU/CSU,
Alois Karl,2012,CDU/CSU,
Alois Karl,2014,CDU/CSU,
Alois Karl,2015,CDU/CSU,
Alois Karl,2016,CDU/CSU,
Alois Karl,2017,CDU/CSU,
Alois Karl,2018,CDU/CSU,
Alois Karl,2019,CDU/CSU,
Alois Karl,2020,CDU/CSU,
Alois Karl,2021,CDU/CSU,
Alois Rainer,2014,CDU/CSU,
Alois Rainer,2015,CDU/CSU,
Alois Rainer,2016,CDU/CSU,
Alois Rainer,2017,CDU/CSU,
Alois Rainer,2018,CDU/CSU,
Alois Rainer,2019,CDU/CSU,
Alois Rainer,2020,CDU/CSU,
Alois Rainer,2021,CDU/CSU,
Althammer,1983,CDU/CSU,
Altmaier,1951,SPD,
Altmaier,1954,SPD,
Altmaler,1954,SPD,
Altmeier,1957,SPD,
Amira Mohamed Ali,2018,DIE LINKE,
Amira Mohamed Ali,2019,DIE LINKE,
Amira Mohamed Ali,2020,DIE LINKE,
Amira Mohamed Ali,2021,DIE LINKE,
Amke Dietert-Scheuer,1995,Grüne/Bündnis 90,
Amke Dietert-Scheuer,1996,Grüne/Bündnis 90,
Amke Dietert-Scheuer,1997,Grüne/Bündnis 90,
Amke Dietert-Scheuer,1998,Grüne/Bündnis 90,
Amling,1976,SPD,
Amling,1977,SPD,
Amling,1984,SPD,
Amling,1985,SPD,
Amling,1986,SPD,
Amling,1987,SPD,
Amling,1989,SPD,
Amling,1990,SPD,
Amo Schmidt (Dresden),1993,FDP,
Amo Schmidt (Dresden),1994,FDP,
Amrehn,1971,CDU/CSU,
Amrehn,1972,CDU/CSU,
Amrehn,1973,CDU/CSU,
Amrehn,1974,CDU/CSU,
Amrehn,1975,CDU/CSU,
Amrehn,1976,CDU/CSU,
Amrehn,1978,CDU/CSU,
Amrehn,1979,CDU/CSU,
Amrehn,1980,CDU/CSU,
Anbuhl,1970,SPD,
Anbuhl,1971,SPD,
Anbuhl,1972,SPD,
Anbuhl,1973,SPD,
Andrea Astrid Vo?hoff,2003,CDU/CSU,
Andrea Astrid Vo?hoff,2004,CDU/CSU,
Andrea Astrid Vo?hoff,2005,CDU/CSU,
Andrea Astrid Vo?hoff,2006,CDU/CSU,
Andrea Astrid Vo?hoff,2007,CDU/CSU,
Andrea Astrid Vo?hoff,2008,CDU/CSU,
Andrea Astrid Vo?hoff,2009,CDU/CSU,
Andrea Astrid Vo?hoff,2010,CDU/CSU,
Andrea Astrid Vo?hoff,2011,CDU/CSU,
Andrea Astrid Vo?hoff,2012,CDU/CSU,
Andrea Astrid Vo?hoff,2013,CDU/CSU,
Andrea Fischer (Berlin),1994,Grüne/Bündnis 90,
Andrea Fischer (Berlin),1995,Grüne/Bündnis 90,
Andrea Fischer (Berlin),1996,Grüne/Bündnis 90,
Andrea Fischer (Berlin),1997,Grüne/Bündnis 90,
Andrea Fischer (Berlin),1998,Grüne/Bündnis 90,
Andrea Fischer (Berlin),2000,Grüne/Bündnis 90,
Andrea Fischer (Berlin),2001,Grüne/Bündnis 90,
Andrea Fischer (Berlin),2002,Grüne/Bündnis 90,
Andrea Gysi,1996,PDS,
Andrea Gysi,1997,PDS,
Andrea Gysi,1998,PDS,
Andrea Lederer,1991,PDS/Linke Liste,
Andrea Lederer,1992,PDS/Linke Liste,
Andrea Lederer,1993,PDS/Linke Liste,
Andrea Lederer,1994,PDS,"该年属于多个党派: PDS, PDS/Linke Liste"
Andrea Lederer,1994,PDS/Linke Liste,"该年属于多个党派: PDS, PDS/Linke Liste"
Andrea Lederer,1995,PDS,
Andrea Lederer,1996,PDS,
Andrea Lindholz,2014,CDU/CSU,
Andrea Lindholz,2015,CDU/CSU,
Andrea Lindholz,2016,CDU/CSU,
Andrea Lindholz,2017,CDU/CSU,
Andrea Lindholz,2018,CDU/CSU,
Andrea Lindholz,2019,CDU/CSU,
Andrea Lindholz,2020,CDU/CSU,
Andrea Lindholz,2021,CDU/CSU,
Andrea Nahles,1998,SPD,
Andrea Nahles,1999,SPD,
Andrea Nahles,2000,SPD,
Andrea Nahles,2001,SPD,
Andrea Nahles,2002,SPD,
Andrea Nahles,2006,SPD,
Andrea Nahles,2007,SPD,
Andrea Nahles,2008,SPD,
Andrea Nahles,2009,SPD,
Andrea Nahles,2010,SPD,
Andrea Nahles,2011,SPD,
Andrea Nahles,2012,SPD,
Andrea Nahles,2013,SPD,
Andrea Nahles,2015,SPD,
Andrea Nahles,2017,SPD,
Andrea Nahles,2018,SPD,
Andrea Nahles,2019,SPD,
Andrea Vo?hoff,1998,CDU/CSU,
Andrea Vo?hoff,1999,CDU/CSU,
Andrea Vo?hoff,2000,CDU/CSU,
Andrea Vo?hoff,2001,CDU/CSU,
Andrea Vo?hoff,2002,CDU/CSU,
Andrea Vo?hoff,2003,CDU/CSU,
Andrea Wicklein,2003,SPD,
Andrea Wicklein,2004,SPD,
Andrea Wicklein,2005,SPD,
Andrea Wicklein,2006,SPD,
Andrea Wicklein,2007,SPD,
Andrea Wicklein,2008,SPD,
Andrea Wicklein,2009,SPD,
Andrea Wicklein,2010,SPD,
Andrea Wicklein,2011,SPD,
Andrea Wicklein,2012,SPD,
Andrea Wicklein,2013,SPD,
Andrea Wicklein,2014,SPD,
Andrea Wicklein,2015,SPD,
Andreas Bleck,2018,AfD,
Andreas Bleck,2019,AfD,
Andreas Bleck,2020,AfD,
Andreas Bleck,2021,AfD,
Andreas G. L?mmel,2017,CDU/CSU,
Andreas G. L?mmel,2018,CDU/CSU,
Andreas G. L?mmel,2019,CDU/CSU,
Andreas G. L?mmel,2020,CDU/CSU,
Andreas G. L?mmel,2021,CDU/CSU,
Andreas Jung,2014,CDU/CSU,
Andreas Jung,2015,CDU/CSU,
Andreas Jung,2016,CDU/CSU,
Andreas Jung,2017,CDU/CSU,
Andreas Jung,2018,CDU/CSU,
Andreas Jung,2019,CDU/CSU,
Andreas Jung,2020,CDU/CSU,
Andreas Jung,2021,CDU/CSU,
Andreas Jung (Konstanz),2005,CDU/CSU,
Andreas Jung (Konstanz),2006,CDU/CSU,
Andreas Jung (Konstanz),2007,CDU/CSU,
Andreas Jung (Konstanz),2008,CDU/CSU,
Andreas Jung (Konstanz),2009,CDU/CSU,
Andreas Jung (Konstanz),2010,CDU/CSU,
Andreas Jung (Konstanz),2011,CDU/CSU,
Andreas Jung (Konstanz),2012,CDU/CSU,
Andreas Jung (Konstanz),2013,CDU/CSU,
Andreas Jung (Konstanz),2014,CDU/CSU,
Andreas Krautscheid,1995,CDU/CSU,
Andreas Krautscheid,1996,CDU/CSU,
Andreas Krautscheid,1997,CDU/CSU,
Andreas Krautscheid,1998,CDU/CSU,
Andreas L?mmel,2010,CDU/CSU,
Andreas Mattfeldt,2010,CDU/CSU,
Andreas Mattfeldt,2011,CDU/CSU,
Andreas Mattfeldt,2012,CDU/CSU,
Andreas Mattfeldt,2013,CDU/CSU,
Andreas Mattfeldt,2014,CDU/CSU,
Andreas Mattfeldt,2015,CDU/CSU,
Andreas Mattfeldt,2016,CDU/CSU,
Andreas Mattfeldt,2018,CDU/CSU,
Andreas Mattfeldt,2019,CDU/CSU,
Andreas Mattfeldt,2020,CDU/CSU,
Andreas Mrosek,2018,AfD,
Andreas Mrosek,2019,AfD,
Andreas Mrosek,2020,AfD,
Andreas Mrosek,2021,AfD,
Andreas Pinkwart,2003,FDP,
Andreas Rimkus,2014,SPD,
Andreas Rimkus,2015,SPD,
Andreas Rimkus,2016,SPD,
Andreas Rimkus,2017,SPD,
Andreas Rimkus,2018,SPD,
Andreas Rimkus,2019,SPD,
Andreas Rimkus,2020,SPD,
Andreas Scheuer,2002,CDU/CSU,
Andreas Scheuer,2003,CDU/CSU,
Andreas Scheuer,2004,CDU/CSU,
Andreas Scheuer,2005,CDU/CSU,
Andreas Scheuer,2014,CDU/CSU,
Andreas Scheuer,2015,CDU/CSU,
Andreas Scheuer,2016,CDU/CSU,
Andreas Schmidt (Mühlheim),1991,CDU/CSU,
Andreas Schmidt (Mühlheim),1993,CDU/CSU,
Andreas Schmidt (Mülheim),1993,CDU/CSU,
Andreas Schmidt (Mülheim),1994,CDU/CSU,
Andreas Schmidt (Mülheim),1995,CDU/CSU,
Andreas Schmidt (Mülheim),1996,CDU/CSU,
Andreas Schmidt (Mülheim),1997,CDU/CSU,
Andreas Schmidt (Mülheim),1998,CDU/CSU,
Andreas Schmidt (Mülheim),1999,CDU/CSU,
Andreas Schmidt (Mülheim),2000,CDU/CSU,
Andreas Schmidt (Mülheim),2001,CDU/CSU,
Andreas Schmidt (Mülheim),2002,CDU/CSU,
Andreas Schmidt (Mülheim),2003,CDU/CSU,
Andreas Schmidt (Mülheim),2006,CDU/CSU,
Andreas Schockenhoff,2003,CDU/CSU,
Andreas Schwarz,2014,SPD,
Andreas Schwarz,2015,SPD,
Andreas Schwarz,2016,SPD,
Andreas Schwarz,2017,SPD,
Andreas Schwarz,2018,SPD,
Andreas Schwarz,2019,SPD,
Andreas Schwarz,2020,SPD,
Andreas Steier,2018,CDU/CSU,
Andreas Steier,2019,CDU/CSU,
Andreas Steier,2020,CDU/CSU,
Andreas Steier,2021,CDU/CSU,
Andreas Steppuhn,2006,SPD,
Andreas Steppuhn,2007,SPD,
Andreas Steppuhn,2008,SPD,
Andreas Storm,1995,CDU/CSU,
Andreas Storm,1996,CDU/CSU,
Andreas Storm,1997,CDU/CSU,
Andreas Storm,1998,CDU/CSU,
Andreas Storm,1999,CDU/CSU,
Andreas Storm,2000,CDU/CSU,
Andreas Storm,2001,CDU/CSU,
Andreas Storm,2002,CDU/CSU,
Andreas Storm,2003,CDU/CSU,
Andreas Storm,2004,CDU/CSU,
Andreas Storm,2005,CDU/CSU,
Andreas Wagner,2018,DIE LINKE,
Andreas Wagner,2019,DIE LINKE,
Andreas Wagner,2020,DIE LINKE,
Andreas Wagner,2021,DIE LINKE,
Andreas Weigel,2003,SPD,
Andreas Weigel,2004,SPD,
Andreas Weigel,2005,SPD,
Andreas Weigel,2006,SPD,
Andreas Weigel,2007,SPD,
Andreas Weigel,2008,SPD,
Andreas Weigel,2009,SPD,
Andreas von Bülow,1992,SPD,
Andrej Hunko,2010,DIE LINKE,
Andrej Hunko,2011,DIE LINKE,
Andrej Hunko,2012,DIE LINKE,
Andrej Hunko,2013,DIE LINKE,
Andrej Hunko,2014,DIE LINKE,
Andrej Hunko,2015,DIE LINKE,
Andrej Hunko,2016,DIE LINKE,
Andrej Hunko,2017,DIE LINKE,
Andrej Hunko,2018,DIE LINKE,
Andrej Hunko,2019,DIE LINKE,
Andrej Hunko,2020,DIE LINKE,
Andrej Hunko,2021,DIE LINKE,
Andrej Konstantin Hunko,2009,DIE LINKE,
Andrej Konstantin Hunko,2010,DIE LINKE,
Andres,1987,SPD,
Andres,1988,SPD,
Andres,1989,SPD,
Andres,1990,SPD,
Andres,1991,SPD,
Anette Hübinger,2006,CDU/CSU,
Anette Hübinger,2007,CDU/CSU,
Anette Hübinger,2008,CDU/CSU,
Anette Hübinger,2009,CDU/CSU,
Anette Hübinger,2010,CDU/CSU,
Anette Hübinger,2011,CDU/CSU,
Anette Hübinger,2012,CDU/CSU,
Anette Hübinger,2013,CDU/CSU,
Anette Hübinger,2014,CDU/CSU,
Anette Hübinger,2015,CDU/CSU,
Anette Hübinger,2016,CDU/CSU,
Anette Kramme,1999,SPD,
Anette Kramme,2001,SPD,
Anette Kramme,2002,SPD,
Anette Kramme,2003,SPD,
Anette Kramme,2004,SPD,
Anette Kramme,2005,SPD,
Anette Kramme,2006,SPD,
Anette Kramme,2007,SPD,
Anette Kramme,2008,SPD,
Anette Kramme,2009,SPD,
Anette Kramme,2010,SPD,
Anette Kramme,2011,SPD,
Anette Kramme,2012,SPD,
Anette Kramme,2013,SPD,
Angela Marquardt,1998,PDS,
Angela Marquardt,1999,PDS,
Angela Marquardt,2000,PDS,
Angela Marquardt,2001,PDS,
Angela Marquardt,2002,PDS,
Angela Schmid,2005,CDU/CSU,
Angela Stachowa,1991,PDS/Linke Liste,
Angela Stachowa,1992,PDS/Linke Liste,
Angela Stachowa,1993,PDS/Linke Liste,
Angela Stachowa,1994,Fraktionslos,"该年属于多个党派: Fraktionslos, PDS/Linke Liste"
Angela Stachowa,1994,PDS/Linke Liste,"该年属于多个党派: Fraktionslos, PDS/Linke Liste"
Angelika Barbe,1991,SPD,
Angelika Barbe,1992,SPD,
Angelika Barbe,1993,SPD,
Angelika Barbe,1994,SPD,
Angelika Beer,1995,Grüne/Bündnis 90,
Angelika Beer,1996,Grüne/Bündnis 90,
Angelika Beer,1997,Grüne/Bündnis 90,
Angelika Beer,1998,Grüne/Bündnis 90,
Angelika Beer,1999,Grüne/Bündnis 90,
Angelika Beer,2000,Grüne/Bündnis 90,
Angelika Beer,2001,Grüne/Bündnis 90,
Angelika Beer,2002,Grüne/Bündnis 90,
Angelika Brunkhorst,2003,FDP,
Angelika Brunkhorst,2004,FDP,
Angelika Brunkhorst,2005,FDP,
Angelika Brunkhorst,2006,FDP,
Angelika Brunkhorst,2007,FDP,
Angelika Brunkhorst,2008,FDP,
Angelika Brunkhorst,2009,FDP,
Angelika Brunkhorst,2010,FDP,
Angelika Brunkhorst,2011,FDP,
Angelika Brunkhorst,2012,FDP,
Angelika Brunkhorst,2013,FDP,
Angelika Gl?ckner,2014,SPD,
Angelika Gl?ckner,2015,SPD,
Angelika Gl?ckner,2016,SPD,
